#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t2 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       VMIS         TRESCA       TRACE        DETER       
StressInBal      N4196    resImp   SIGM_NOEU                   0  0.00000E+00  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4197    resImp   SIGM_NOEU                   0  0.00000E+00  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4198    resImp   SIGM_NOEU                   0  0.00000E+00  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4199    resImp   SIGM_NOEU                   0  0.00000E+00  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4200    resImp   SIGM_NOEU                   0  0.00000E+00  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4201    resImp   SIGM_NOEU                   0  0.00000E+00  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4202    resImp   SIGM_NOEU                   0  0.00000E+00  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4196    resImp   SIGM_NOEU                   1  9.90099E-04  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  6.28280E-04  6.55839E-04 -1.61135E-03 -1.02102E-10
StressInBal      N4197    resImp   SIGM_NOEU                   1  9.90099E-04  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  6.46672E-04  6.74649E-04 -1.65871E-03 -1.11399E-10
StressInBal      N4198    resImp   SIGM_NOEU                   1  9.90099E-04  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  6.15659E-04  6.20094E-04 -1.81177E-03 -1.61234E-10
