#
#--------------------------------------------------------------------------------
##ASTER 14.06.00 CONCEPT t3 CALCULE LE 10/08/2022 A 00:31:39 DE TYPE TABLE_SDASTER
INTITULE         NOEUD    RESU     NOM_CHAM         NUME_ORDRE   INST         ABSC_CURV    COOR_X       COOR_Y       COOR_Z       SIXX         SIYY         SIZZ         SIXY        
StressInBal      N4196    resImp   SIGM_NOEU                   0  0.00000E+00  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4197    resImp   SIGM_NOEU                   0  0.00000E+00  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4198    resImp   SIGM_NOEU                   0  0.00000E+00  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4199    resImp   SIGM_NOEU                   0  0.00000E+00  1.80000E+02  6.00000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4200    resImp   SIGM_NOEU                   0  0.00000E+00  2.40000E+02  6.60000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4201    resImp   SIGM_NOEU                   0  0.00000E+00  3.00000E+02  7.20000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4202    resImp   SIGM_NOEU                   0  0.00000E+00  3.60000E+02  7.80000E+02 -4.50000E+01 -7.80000E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
StressInBal      N4196    resImp   SIGM_NOEU                   1  9.90099E-04  0.00000E+00  4.20000E+02 -4.50000E+01 -7.80000E+02 -3.15574E-04 -9.37711E-04 -3.58065E-04 -1.03318E-04
StressInBal      N4197    resImp   SIGM_NOEU                   1  9.90099E-04  6.00000E+01  4.80000E+02 -4.50000E+01 -7.80000E+02 -3.08645E-04 -9.81859E-04 -3.68201E-04 -1.85437E-05
StressInBal      N4198    resImp   SIGM_NOEU                   1  9.90099E-04  1.20000E+02  5.40000E+02 -4.50000E+01 -7.80000E+02 -3.94289E-04 -1.01407E-03 -4.03406E-04  1.95182E-06
