FREQ [Hz]	vertical stiffness Real [N/mm]	vertical stiffness Imanginary [N/mm]	
300.0	4054568.4814862986	674651.0238675033
304.9169435419	4058995.282722306	672925.1311575832
309.9144748632	4063494.4229526594	671165.427218465
314.9939147823	4068067.0806746413	669371.1753268186
320.1566057657	4072714.453465169	667541.6206511213
325.4039122828	4077437.7582857637	665675.9897554839
330.7372211662	4082238.2317918427	663773.4900888636
336.1579419785	4087117.130647397	661833.3094588775
341.6675073848	4092075.7318443013	659854.6154900814
347.2673735312	4097115.3330264436	657836.5550661437
352.9590204299	4102237.25281921	655778.2537552196
358.7439523501	4107442.8311636546	653678.8152183491
364.6236982158	4112733.4296562187	651537.3205999617
370.5998120098	4118110.431893459	649352.8279002436
376.6738731841	4123575.2438218254	647124.371328744
382.847487078	4129129.2940937732	644850.9606382065
389.1222853418	4134774.034428142	642531.5804388156
395.4999263682	4140510.939976835	640165.1894915092
401.9820957309	4146341.5096971635	637750.719979918
408.5705066294	4152267.2667290377	635287.0767606883
415.2669003428	4155325.1683033044	639476.7942009794
422.0730466888	4157369.3942552977	646143.9032921264
428.9907444926	4159446.711620134	652926.7593473619
436.0218220616	4168630.81730422	660875.5542310383
443.1681376686	4185806.917194731	670158.0207613272
FREQ [Hz]	stiffness around X Real [Nmm/rad]	stiffness around X Imanginary [Nmm/rad]	
300.0	6021976856.482686	1002065031.0209088
304.9169435419	6028541812.253716	999501548.0060391
309.9144748632	6035213876.233325	996887844.9040315
314.9939147823	6041994787.693314	994222827.4547961
320.1566057657	6048886313.875503	991505374.5020778
325.4039122828	6055890250.432338	988734337.2564735
330.7372211662	6063008421.87376	985908538.5367631
336.1579419785	6070242682.0215	983026771.9883717
341.6675073848	6077594914.469875	980087801.2787467
347.2673735312	6085067033.053296	977090359.2688152
352.9590204299	6092660982.321262	974033147.1594944
358.7439523501	6100378738.019843	970914833.612988
364.6236982158	6108222307.580878	967734053.8474975
370.5998120098	6116193730.618153	964489408.7050005
376.6738731841	6124295079.43053	961179463.691165
382.847487078	6132528459.513904	957802747.985885
389.1222853418	6140896010.079028	954357753.4247333
395.4999263682	6149399904.577981	950842933.4493108
401.9820957309	6158042351.238591	947256702.0258715
408.5705066294	6166825593.605326	943597432.5318115
415.2669003428	6171348579.083442	949820457.7223805
422.0730466888	6174365317.044981	959723174.4508882
428.9907444926	6177430558.949517	969797811.2818395
436.0218220616	6191050907.131186	981604227.2715875
443.1681376686	6216541143.563202	995391557.4251819
FREQ [Hz]	stiffness around Z Real [Nmm/rad]	stiffness around Z Imanginary [Nmm/rad]	
300.0	7138128380.883592	1187789218.4085748
304.9169435419	7145911073.076871	1184750615.6936324
309.9144748632	7153820757.397862	1181652485.025512
314.9939147823	7161859496.54646	1178493529.3322418
320.1566057657	7170029386.411826	1175272419.660704
325.4039122828	7178332556.59606	1171987794.303059
330.7372211662	7186771170.94489	1168638257.8974638
336.1579419785	7195347428.08755	1165222380.5016737
341.6675073848	7204063561.9842415	1161738696.6393049
347.2673735312	7212921842.481579	1158185704.3177118
352.9590204299	7221924575.877076	1154561864.0163217
358.7439523501	7231074105.49121	1150865597.6450648
364.6236982158	7240372812.248802	1147095287.4712975
370.5998120098	7249823115.268701	1143249275.0148087
376.6738731841	7259427472.461662	1139325859.9097762
382.847487078	7269188381.138893	1135323298.7319255
389.1222853418	7279108378.627452	1131239803.7911952
395.4999263682	7289190042.896103	1127073541.887551
401.9820957309	7299435993.1905	1122822633.0291698
408.5705066294	7309848890.67626	1118485149.1125708
415.2669003428	7315211987.141224	1125861558.7001626
422.0730466888	7318789725.972792	1137599659.1810029
428.9907444926	7322425020.506932	1149541543.674419
436.0218220616	7338571784.035482	1163536177.782751
443.1681376686	7368788484.241286	1179878871.5552065
FREQ [Hz]	lateral stiffness Real [N/mm]	lateral stiffness Imanginary [N/mm]	
300.0	160856.3177436654	26796.251459257433
304.9169435419	161026.00370758818	26727.701741520093
309.9144748632	161198.35984550387	26657.80911409053
314.9939147823	161373.42624958718	26586.54431690418
320.1566057657	161551.24354746944	26513.877370751587
325.4039122828	161731.85290697427	26439.777557575613
330.7372211662	161915.29604078367	26364.213400187655
336.1579419785	162101.61521106455	26287.152641373625
341.6675073848	162290.85323401273	26208.562222381926
347.2673735312	162483.0534843215	26128.40826077233
352.9590204299	162678.25989958216	26046.65602759806
358.7439523501	162876.51698458006	25963.269923913125
364.6236982158	163077.8698155137	25878.213456569818
370.5998120098	163282.36404410138	25791.449213295364
376.6738731841	163490.0459015733	25702.93883702407
382.847487078	163700.96220257948	25612.642999443648
389.1222853418	163915.1603489302	25520.521373764197
395.4999263682	164132.6883332318	25426.53260665557
401.9820957309	164353.59474238375	25330.634289336096
408.5705066294	164577.9287608933	25232.78292780275
415.2669003428	164687.99053981577	25399.19457946171
422.0730466888	164757.41358420643	25664.005167141142
428.9907444926	164827.76162750277	25933.41321437614
436.0218220616	165179.97996459028	26249.13090647254
443.1681376686	165849.21458516872	26617.820361641356
