FREQ [Hz]	vertical stiffness Real [N/mm]	vertical stiffness Imanginary [N/mm]	
401.9820957309	4146341.5096971635	637750.719979918
408.5705066294	4152267.2667290377	635287.0767606883
415.2669003428	4155325.1683033044	639476.7942009794
422.0730466888	4157369.3942552977	646143.9032921264
428.9907444926	4159446.711620134	652926.7593473619
436.0218220616	4168630.81730422	660875.5542310383
443.1681376686	4185806.917194731	670158.0207613272
FREQ [Hz]	stiffness around X Real [Nmm/rad]	stiffness around X Imanginary [Nmm/rad]	
401.9820957309	6158042351.238591	947256702.0258715
408.5705066294	6166825593.605326	943597432.5318115
415.2669003428	6171348579.083442	949820457.7223805
422.0730466888	6174365317.044981	959723174.4508882
428.9907444926	6177430558.949517	969797811.2818395
436.0218220616	6191050907.131186	981604227.2715875
443.1681376686	6216541143.563202	995391557.4251819
FREQ [Hz]	stiffness around Z Real [Nmm/rad]	stiffness around Z Imanginary [Nmm/rad]	
401.9820957309	7299435993.1905	1122822633.0291698
408.5705066294	7309848890.67626	1118485149.1125708
415.2669003428	7315211987.141224	1125861558.7001626
422.0730466888	7318789725.972792	1137599659.1810029
428.9907444926	7322425020.506932	1149541543.674419
436.0218220616	7338571784.035482	1163536177.782751
443.1681376686	7368788484.241286	1179878871.5552065
FREQ [Hz]	lateral stiffness Real [N/mm]	lateral stiffness Imanginary [N/mm]	
401.9820957309	164353.59474238375	25330.634289336096
408.5705066294	164577.9287608933	25232.78292780275
415.2669003428	164687.99053981577	25399.19457946171
422.0730466888	164757.41358420643	25664.005167141142
428.9907444926	164827.76162750277	25933.41321437614
436.0218220616	165179.97996459028	26249.13090647254
443.1681376686	165849.21458516872	26617.820361641356
