Real Part    |   Imag Part
3.4308755889158785e-09  |  -3.449485816343893e-09
3.42904350796249e-09  |  -3.5368885795271373e-09
3.405589443214815e-09  |  -3.6701651561334876e-09
3.3517181999312426e-09  |  -3.847620671405534e-09
3.25586532782597e-09  |  -4.063819309104809e-09
3.106104558090573e-09  |  -4.3071157010511065e-09
2.8954526898285095e-09  |  -4.558613451458458e-09
2.6292216158008386e-09  |  -4.79645129098535e-09
2.3281317473480445e-09  |  -5.008853755316801e-09
2.016151447383361e-09  |  -5.2110013894559245e-09
1.6894035892781931e-09  |  -5.447457901862326e-09
1.2831853499443665e-09  |  -5.760667592933216e-09
6.71707542548427e-10  |  -6.122982600316771e-09
-2.52604552940504e-10  |  -6.3637060118302e-09
-1.4081252342474898e-09  |  -6.205458986927816e-09
-2.458661870796991e-09  |  -5.5179127000715185e-09
-3.08857100339216e-09  |  -4.504177795808402e-09
-3.2668541139428938e-09  |  -3.4864859754008658e-09
-3.148718187913651e-09  |  -2.6461605976062204e-09
-2.8902670170542135e-09  |  -2.0134401090790253e-09
-2.5866143384442113e-09  |  -1.553897342769782e-09
-2.2834996664793268e-09  |  -1.2229158461063433e-09
-1.999057328875523e-09  |  -9.83795028102349e-10
-1.7381327747717682e-09  |  -8.101419526192538e-10
-1.4996786958648484e-09  |  -6.839551353116475e-10
-1.280187497616199e-09  |  -5.933269909301333e-10
-1.0751417891624862e-09  |  -5.307314601948955e-10
-8.795041970017531e-10  |  -4.9200254227336e-10
-6.877218826154451e-10  |  -4.759777345897152e-10
-4.934643539192825e-10  |  -4.849127781077802e-10
-2.8927163064065474e-10  |  -5.261258289818581e-10
-6.665444920655362e-11  |  -6.161458734861112e-10
1.8085010569412918e-10  |  -7.905715768767599e-10
4.3975592284649926e-10  |  -1.1261034466937723e-09
5.90835765270721e-10  |  -1.7680532973433243e-09
1.4683432622373961e-10  |  -2.7460265374800313e-09
-1.2910348951780174e-09  |  -3.029515055509144e-09
-2.1838606939946863e-09  |  -2.058083077869915e-09
-2.161337552496628e-09  |  -1.1982844671022488e-09
-1.9105887374594916e-09  |  -7.316341893985995e-10
-1.6686186040247758e-09  |  -4.835219304090388e-10
-1.4704927860472558e-09  |  -3.4208391059517467e-10
-1.3113821122324188e-09  |  -2.552029210276361e-10
-1.1821008070210366e-09  |  -1.9830653823839657e-10
-1.0751307483692674e-09  |  -1.5904119194034179e-10
-9.850114618354066e-10  |  -1.3076215954703375e-10
-9.078538906451604e-10  |  -1.0967177382050162e-10
-8.408655369586414e-10  |  -9.348266369232257e-11
-7.820071172017699e-10  |  -8.075372686986444e-11
-7.297605415644677e-10  |  -7.054122363267948e-11
-6.829739791908769e-10  |  -6.220609876280764e-11
-6.407576590087916e-10  |  -5.530282388729904e-11
-6.024127828358762e-10  |  -4.951275649164537e-11
-5.673822061138978e-10  |  -4.460280783047465e-11
-5.352156240738502e-10  |  -4.039902307322545e-11
-5.055445804566668e-10  |  -3.6769231660279374e-11
-4.780642407283263e-10  |  -3.3611373035112885e-11
-4.5251990352438847e-10  |  -3.084546409028796e-11
-4.286968881323139e-10  |  -2.840795541834612e-11
-4.06412870567168e-10  |  -2.624768330104353e-11
-3.855120316774874e-10  |  -2.4322900646757535e-11
-3.658605817099953e-10  |  -2.2599036889237774e-11
-3.473433728977858e-10  |  -2.1046933410610848e-11
-3.298614324228231e-10  |  -1.964134420868984e-11
-3.1333037017168504e-10  |  -1.835947703437474e-11
-2.976797790996151e-10  |  -1.7179237887581035e-11
-2.828540272346721e-10  |  -1.6076498192647514e-11
-2.68815401620128e-10  |  -1.5019697161165192e-11
-2.5555170565318127e-10  |  -1.3956880174748572e-11
-2.4309197051195777e-10  |  -1.2778526471185279e-11
-2.3152506844521014e-10  |  -1.1188886322002044e-11
-2.2082228767607777e-10  |  -8.182790641030006e-12
-2.0768649707679058e-10  |  -1.2531252250462114e-12
-1.8659870163108907e-10  |  -1.945636769998733e-12
-1.755873412289819e-10  |  -7.424195590704226e-12
-1.6670935037275089e-10  |  -8.962773624607304e-12
-1.5766823059473297e-10  |  -9.272579844167626e-12
-1.4857507792268894e-10  |  -9.21583187485187e-12
-1.3955702141898643e-10  |  -9.034333301526469e-12
-1.3067463945800233e-10  |  -8.810451015733752e-12
-1.219520255575964e-10  |  -8.57692780225348e-12
-1.1339494652655674e-10  |  -8.348213066927265e-12
-1.0499968752047458e-10  |  -8.131109051392197e-12
-9.675740263358506e-11  |  -7.928921618206475e-12
-8.865633253194135e-11  |  -7.7432618186817e-12
-8.068296556061832e-11  |  -7.574897722819954e-12
-7.282264647686557e-11  |  -7.4241869409084e-12
-6.50598794563467e-11  |  -7.291310764955946e-12
-5.737845102069185e-11  |  -7.176409476057257e-12
-4.9761438708578094e-11  |  -7.079666840583721e-12
-4.219114008366661e-11  |  -7.001368491720814e-12
-3.4648939337273634e-11  |  -6.941947793215992e-12
-2.7115118330698103e-11  |  -6.902027340253915e-12
-1.9568611937891574e-11  |  -6.882461606739783e-12
-1.1986702112199772e-11  |  -6.88438510155143e-12
-4.3446400811125275e-12  |  -6.909270156976049e-12
3.3848193361008944e-12  |  -6.9589988957050116e-12
1.1231993813033565e-11  |  -7.035954959562027e-12
1.9230990963373836e-11  |  -7.143142325890004e-12
2.7420609505014763e-11  |  -7.2843412185704e-12
3.5845482326346424e-11  |  -7.464315153233665e-12
4.4557542106821796e-11  |  -7.689089225765056e-12
5.3617922618412977e-11  |  -7.966328985555129e-12
6.309945661530717e-11  |  -8.305863498847584e-12
7.309000281765748e-11  |  -8.720418663080489e-12
8.369694389797194e-11  |  -9.226662948484849e-12
9.505336812848309e-11  |  -9.846727232391366e-12
1.0732672012564925e-10  |  -1.0610461026289859e-11
