FREQ [Hz],vertical stiffness Real [N/mm],vertical stiffness Imanginary [N/mm],stiffness around X Real [Nmm/rad],stiffness around X Imanginary [Nmm/rad],stiffness around Z Real [Nmm/rad],stiffness around Z Imanginary [Nmm/rad],lateral stiffness Real [N/mm],lateral stiffness Imanginary [N/mm]
199.526231496888,3862823784.67322,608114861.988769,5739621.75567611,903237.204594681,6803206.97000835,1070644.59265868,154725629.009707,24152333.0803759
202.315963100501,3868267570.84352,609074937.793073,5747663.29629536,904663.229493974,6812743.17305201,1072334.91771044,154914872.746638,24190483.4956082
205.144700113888,3873719028.81288,610036529.339891,5755716.10357611,906091.505791906,6822292.74319869,1074027.91143377,155104347.946141,24228694.1722728
208.012987902055,3879178169.39298,610999639.022238,5763780.19330362,907522.037042971,6831855.69918536,1075723.57804194,155294054.891316,24266965.205557
210.92137945518,3884645003.41074,611964269.236908,5771855.58128524,908954.826807273,6841432.05977524,1077421.92175489,155483993.865609,24305296.6907987
213.870435495227,3890119541.70835,612930422.384475,5779942.28335048,910389.878650539,6851021.84375785,1079122.94679919,155674165.152812,24343688.7234861
216.860724584052,3895601795.14325,613898100.869307,5788040.31535101,911827.196144123,6860625.06994906,1080826.65740813,155864569.037067,24382141.3992586
219.892823233016,3901091774.58822,614867307.099566,5796149.69316074,913266.782865019,6870241.75719109,1082533.05782164,156055205.802861,24420654.8139064
222.967316014134,3906589490.93134,615838043.487217,5804270.43267579,914708.642395868,6879871.92435261,1084242.15228636,156246075.735029,24459229.0633711
226.084795672778,3912094955.07603,616810312.448032,5812402.54981457,916152.778324968,6889515.5903287,1085953.94505565,156437179.118756,24497864.2437458
229.245863241954,3917608177.94108,617784116.401597,5820546.06051778,917599.194246281,6899172.77404094,1087668.44038956,156628516.239574,24536560.4512755
232.451128158179,3923129170.46069,618759457.771319,5828700.98074846,919047.893759443,6908843.49443745,1089385.64255488,156820087.383365,24575317.7823572
235.701208378977,3928657943.58443,619736338.98443,5836867.32649202,920498.880469775,6918527.77049288,1091105.55582514,157011892.836361,24614136.33354
238.996730502016,3934194508.27733,620714762.471995,5845045.11375626,921952.157988287,6928225.6212085,1092828.1844806,157203932.885145,24653016.2015257
242.338329885915,3939738875.51987,621694730.668915,5853234.3585714,923407.729931692,6937937.0656122,1094553.5328083,157396207.816647,24691957.4831687
245.726650772736,3945291056.30799,622676246.013938,5861435.07699015,924865.599922414,6947662.12275854,1096281.60510203,157588717.918152,24730960.2754765
249.162346412191,3950851061.65313,623659310.94966,5869647.28508767,926325.771588595,6957400.81172882,1098012.40566237,157781463.477294,24770024.6756098
252.646079187585,3956418902.58227,624643927.922535,5877870.99896166,927788.248564103,6967153.15163105,1099745.93879667,157974444.78206,24809150.7808828
256.178520743519,3961994590.1379,625630099.382879,5886106.2347324,929253.034488546,6976919.16160004,1101482.20881912,158167662.120788,24848338.6887633
259.760352115381,3967578135.37809,626617827.784874,5894353.0085427,930720.133007278,6986698.86079741,1103221.22005067,158361115.782169,24887588.4968732
263.392263860646,3973169549.37648,627607115.58658,5902611.33655804,932189.547771406,6996492.26841167,1104962.97681915,158554806.055249,24926900.3029885
267.074956192009,3978768843.22234,628597965.249936,5910881.23496652,933661.282437805,7006299.40365819,1106707.48345916,158748733.229424,24966274.2050397
270.809139112383,3984376028.02054,629590379.240769,5919162.71997892,935135.340669119,7016120.28577929,1108454.7443122,158942897.594447,25005710.301112
274.595532551789,3989991114.89162,630584360.028798,5927455.80782875,936611.726133778,7025954.93404427,1110204.76372658,159137299.440425,25045208.6894454
278.434866506144,3995614114.97178,631579910.087641,5935760.51477225,938090.442506002,7035803.36774943,1111957.54605751,159331939.057817,25084769.4684354
282.327881178013,4001245039.41292,632577031.894822,5944076.85708844,939571.493465814,7045665.60621812,1113713.09566705,159526816.737442,25124392.7366325
286.275327119304,4006883899.38266,633575727.931775,5952404.85107914,941054.882699043,7055541.66880078,1115471.41692417,159721932.77047,25164078.5927431
290.277965375977,4012530706.06434,634576000.683854,5960744.51306902,942540.613897342,7065431.57487497,1117232.51420471,159917287.448431,25203827.1356295
294.336567634771,4018185470.65709,635577852.640335,5969095.85940563,944028.690758187,7075335.34384541,1118996.39189143,160112881.063208,25243638.4643103
298.451916371975,4023848204.37579,636581286.294424,5977458.9064594,945519.116984897,7085252.99514403,1120763.05437403,160308713.907044,25283512.6779601
302.624805004289,4029518918.45114,637586304.143264,5985833.67062371,947011.896286635,7095184.54822998,1122532.50604912,160504786.272538,25323449.8759106
306.85603804179,4035197624.12968,638592908.687942,5994220.16831491,948507.032378418,7105130.0225897,1124304.75132025,160701098.452647,25363450.1576501
311.146431243037,4040884332.67379,639601102.433489,6002618.41597235,950004.528981133,7115089.43773696,1126079.79459792,160897650.740686,25403513.6228243
315.496811772344,4046579055.3617,640610887.888895,6011028.4300584,951504.389821538,7125062.81321284,1127857.64029961,161094443.43033,25443640.371236
319.908018359255,4052281803.48757,641622267.567109,6019450.22705852,953006.618632275,7135050.16858584,1129638.29284976,161291476.815612,25483830.5028459
324.380901460242,4057992588.36145,642635243.98505,6027883.82348123,954511.219151881,7145051.5234519,1131421.7566798,161488751.190925,25524084.1177724
328.916323422673,4063711421.30935,643649819.663607,6036329.23585822,956018.195124794,7155066.8974344,1133208.03622816,161686266.851022,25564401.3162923
333.515158651066,4069438313.67321,644665997.127652,6044786.4807443,957527.550301363,7165096.31018425,1134997.13594027,161884024.091017,25604782.1988405
338.17829377567,4075173276.811,645683778.906041,6053255.57471752,959039.28843786,7175139.78137989,1136789.06026859,162082023.206384,25645226.8660107
342.9066278234,4080916322.09665,646703167.531624,6061736.53437912,960553.413296486,7185197.33072735,1138583.81367258,162280264.492959,25685735.4185555
347.701072391167,4086667460.92016,647724165.541249,6070229.37635362,962069.928645382,7195268.97796028,1140381.40061878,162478748.24694,25726307.9573867
352.562551821629,4092426704.68754,648746775.475769,6078734.11728882,963588.838258638,7205354.74284,1142181.82558077,162677474.764886,25766944.5835753
357.492003381399,4098194064.82091,649770999.880049,6087250.77385585,965110.145916303,7215454.64515551,1143985.09303916,162876444.343722,25807645.3983521
