Frequencies [Hz]    Rail Acc TF [m/s^2/N]    TDR [dB/m]    Sound Presure [Pa]
199.526231496888    (0.0010843426758244822+0.001962350114717985j)    1.989453128672627    (-3.234040262894129e-07+5.0903145412294e-08j)
202.315963100501    (0.0010446279172995187+0.0019214441183270342j)    2.0498532344719522    (1.1838098439810985e-07+5.616685187826251e-08j)
205.144700113888    (0.0009989317588933219+0.0018741946431121365j)    2.118390711630415    (-2.6939657822436727e-07-2.5611064426144565e-07j)
208.012987902055    (0.0009459286800346466+0.0018171963435006527j)    2.191597828983964    (5.03742508447116e-07+3.1701864599137735e-08j)
210.92137945518    (0.0008859052924867242+0.001755473373628193j)    2.2741846417548643    (-2.7542563471925704e-07+2.885577999285573e-07j)
213.870435495227    (0.000819681501297581+0.0016974526358138132j)    2.3722536189618535    (-5.899372650919493e-08-1.5732921349679546e-07j)
216.860724584052    (0.0007416001147998759+0.00162826528533237j)    2.469215647908588    (-1.898327948722634e-09-1.118839085610133e-07j)
219.892823233016    (0.0006483795996402268+0.0015463664098780408j)    2.5581892545800424    (1.8922054529008527e-07+6.262078598254659e-08j)
222.967316014134    (0.0005292557432870072+0.001468558128840976j)    2.676392958925529    (-1.631394906503788e-07+5.4530057858443236e-08j)
226.084795672778    (0.0003837923848704095+0.0013828926868996786j)    2.7838686396161747    (1.274509540820482e-07-7.350611831657314e-08j)
229.245863241954    (0.00020597175357738807+0.0012937783396988107j)    2.9015993551839414    (-1.1801011248092126e-07+1.223553966176303e-07j)
232.451128158179    (-9.394624794940196e-08+0.0012499541231893428j)    3.2167596631352864    (4.845672669254836e-08-1.8088316193172454e-07j)
235.701208378977    (-0.00022676309996261682+0.0012354571423052734j)    3.837386896468414    (5.9299499830942826e-08+1.7723165373523584e-07j)
238.996730502016    (-0.0004696556585570721+0.0012398835509400874j)    4.898846892501791    (-1.4085179899898577e-07-1.0121115361382914e-07j)
242.338329885915    (-0.000689734053709448+0.0013074672325482182j)    6.355551650967615    (1.55175164791955e-07+2.173162808224956e-09j)
245.726650772736    (-0.0008999261433174527+0.0014067700990310586j)    7.990367439794702    (-1.1369765727929551e-07+7.640889031843836e-08j)
249.162346412191    (-0.001115288133564677+0.0015169170804340089j)    9.707076571811934    (4.294082269916579e-08-1.1151121905848859e-07j)
252.646079187585    (-0.0012512639995352027+0.0016346565303520947j)    10.614633773729476    (3.2446606970859284e-08+1.0919995591685379e-07j)
256.178520743519    (-0.001363952165195136+0.0017582344911325754j)    11.208000720437838    (-9.500875124743645e-08-6.079708497539556e-08j)
259.760352115381    (-0.0014803453215128562+0.001888541615531308j)    11.733062838527783    (1.1091469059652022e-07-2.1741172396917268e-08j)
263.392263860646    (-0.0015633209812005806+0.0019173923016268274j)    12.088471265566248    (-4.645354076831427e-08+9.825955820532343e-08j)
267.074956192009    (-0.001648081268081433+0.0019385408806232812j)    12.457738713237969    (-5.526897417530934e-08-8.687933651808408e-08j)
270.809139112383    (-0.0017636861220493682+0.0019517909638308102j)    13.07306685793401    (9.24515611214603e-08-5.115550768840219e-09j)
274.595532551789    (-0.0019860441270630985+0.0019379986494929005j)    14.599413702197795    (-3.164803222256169e-08+5.971153987720996e-08j)
278.434866506144    (-0.002224867284732475+0.0019259275740308526j)    16.25418010319135    (-1.814821157089491e-08-3.792048145509072e-08j)
282.327881178013    (-0.0025043116375524175+0.001993429821692992j)    17.766354195117433    (2.8526165213243684e-08+2.2780616188838902e-08j)
286.275327119304    (-0.0028151893504931138+0.002124409184975674j)    18.88489195397762    (-5.9250925962220744e-08+5.914944708001984e-09j)
290.277965375977    (-0.0031358474471603615+0.0022783486165910984j)    19.608067776163466    (2.6711851665466164e-08-8.546596698881184e-08j)
294.336567634771    (-0.003380806601584701+0.002567785058705918j)    19.165944782529746    (1.0904665638336898e-07+4.5732876430631236e-08j)
298.451916371975    (-0.0036314252884365457+0.0028782059447484167j)    18.675627755069655    (-6.483788706100893e-08+1.3217742924510632e-07j)
302.624805004289    (-0.0037816777470104095+0.003168856861535661j)    18.047636111295354    (-1.4845656546300557e-07-7.026354023183747e-08j)
306.85603804179    (-0.003868328686145557+0.003449912556614314j)    17.386939527294192    (6.089883090897092e-08-1.6366571894085385e-07j)
311.146431243037    (-0.003929776226402643+0.003722795858053568j)    16.778945728836177    (1.7808525368599704e-07+3.7540869747420185e-08j)
315.496811772344    (-0.003925183483630967+0.003944205057178027j)    16.219393430284956    (2.4957963925915116e-09+1.7960799876483877e-07j)
319.908018359255    (-0.003914359189710845+0.004173844466752941j)    15.671463463407223    (-1.6831508729822045e-07+5.374463173273111e-08j)
324.380901460242    (-0.0038900723050173413+0.004375253965439433j)    15.194103965430408    (-1.0502823017628663e-07-1.320723423107449e-07j)
328.916323422673    (-0.003858950795915273+0.004582137793305463j)    14.721183433820645    (7.044384434892872e-08-1.4253336968862327e-07j)
333.515158651066    (-0.0039004948933232244+0.004725428778499324j)    14.556852971427661    (1.4320800961531472e-07+3.1807566727441083e-09j)
338.17829377567    (-0.003965980741656353+0.004850019727964028j)    14.485778872453999    (5.266884332467574e-08+1.1257356392821453e-07j)
